Name,Country,Coordinates
‘Uruq Bani Ma’arid,Saudi Arabia,N19 21 50 E45 35 54
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",Italy,N41 4 23.988 E14 19 35.004
Aachen Cathedral,Germany,N50 46 29.089 E6 5 2.112
Aapravasi Ghat,Mauritius,S20 9 31.1 E57 30 11.4
Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,Denmark,N67 3 50.15 W51 25 59.54
Abbey and Altenmünster of Lorsch,Germany,N49 39 13.284 E8 34 6.888
Abbey Church of Saint-Savin sur Gartempe,France,N46 33 52.992 E0 51 57.996
Abbey of St Gall,Switzerland,N47 25 23.988 E9 22 40.008
Abu Mena,Egypt,N30 50 9 E29 40 0
"Acropolis, Athens",Greece,N37 58 15.132 E23 43 34.248
Aflaj Irrigation Systems of Oman,Oman,N22 59 56 E57 32 9.8
Agave Landscape and Ancient Industrial Facilities of Tequila,Mexico,N20 51 47 W103 46 43
Agra Fort,India,N27 10 47.302 E78 1 17.501
Agricultural Landscape of Southern Öland,Sweden,N56 19 30 E16 28 59.988
Air and Ténéré Natural Reserves,Niger,N18 0 0 E9 0 0
Ajanta Caves,India,N20 33 11.2 E75 42 0.9
Aksum,Ethiopia,N14 7 48.684 E38 43 6.996
Al Qal'a of Beni Hammad,Algeria,N35 49 6.384 E4 47 12.624
Al Zubarah Archaeological Site,Qatar,N25 58 41 E51 1 47
"Al-Ahsa Oasis, an Evolving Cultural Landscape",Saudi Arabia,N25 24 7.8 E49 37 50.05
Aldabra Atoll,Seychelles,S9 25 0 E46 25 0
Alejandro de Humboldt National Park,Cuba,N20 26 60 W75 0 0
"Alhambra, Generalife and Albayzín, Granada",Spain,N37 10 36.4 W3 35 23.7
Alto Douro Wine Region,Portugal,N41 6 6 W7 47 56
"Amami-Oshima Island, Tokunoshima Island, Northern part of Okinawa Island, and Iriomote Island",Japan,N28 16 45 E129 22 42
Amiens Cathedral,France,N49 53 42 E2 18 6
Amphitheatre of El Jem,Tunisia,N35 17 47.004 E10 42 24.984
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Albania,N48 54 00 E22 11 00
Ancient Building Complex in the Wudang Mountains,China,N32 28 0.012 E111 0 0
Ancient City of Aleppo,Syrian Arab Republic,N36 11 57 E37 09 46
Ancient City of Bosra,Syrian Arab Republic,N32 31 09 E36 29 03
Ancient City of Damascus,Syrian Arab Republic,N33 30 39 E36 18 35
Ancient City of Nessebar,Bulgaria,N42 39 32.8 E27 44 9.7
Ancient City of Ping Yao,China,N37 12 5.004 E112 9 15.984
Ancient City of Polonnaruwa,Sri Lanka,N7 54 57 E81 0 2
Ancient City of Qalhat,Oman,N22 41 42.8 E59 22 41.2
Ancient City of Sigiriya,Sri Lanka,N7 57 0 E80 45 0
Ancient City of Tauric Chersonese and its Chora,Ukraine,N44 36 39 E33 29 29
Ancient Ferrous Metallurgy Sites of Burkina Faso,Burkina Faso,N12 35 15.93 W3 19 44.35
Ancient Jericho/Tell es-Sultan,State of Palestine,N31 52 16.7 E35 26 38.6
"Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata",Mauritania,N20 55 44.004 W11 37 24.996
"Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche",Mexico,N18 3 10.9 W89 44 14.22
Ancient Thebes with its Necropolis,Egypt,N25 43 59.988 E32 36 0
Ancient Villages in Southern Anhui – Xidi and Hongcun,China,N29 54 16 E117 59 15
Ancient Villages of Northern Syria,Syrian Arab Republic,N36 20 3 E36 50 39
Andrefana Dry Forests,Madagascar,S18 39 41.68 E44 46 2.59
Angkor,Cambodia,N13 25 60 E103 49 60
Anjar,Lebanon,N33 43 55 E35 56 0
Antequera Dolmens Site,Spain,N37 1 30 W4 32 40
Anticosti,Canada,N49 32 19 W63 14 43
Antigua Guatemala,Guatemala,N14 33 23.414 W90 44 1.716
Antigua Naval Dockyard and Related Archaeological Sites,Antigua and Barbuda,N17 0 25 W61 45 42
Aphrodisias,Türkiye,N37 42 30 E28 43 25
Aqueduct of Padre Tembleque Hydraulic System,Mexico,N19 50 7 W98 39 45.24
Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,Italy,N38 6 39 E13 21 11
Aranjuez Cultural Landscape,Spain,N40 2 11.22 W3 36 33.624
Archaeological Area and the Patriarchal Basilica of Aquileia,Italy,N45 46 6 E13 22 3
Archaeological Area of Agrigento,Italy,N37 17 23 E13 35 36
"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",Italy,N40 45 0 E14 28 60
Archaeological Border complex of Hedeby and the Danevirke,Germany,N54 27 43 E9 27 14.8
Archaeological Ensemble of Mérida,Spain,N38 54 57.996 W6 20 16.008
Archaeological Ensemble of Tarraco,Spain,N41 6 53 E1 15 33.5
Archaeological Heritage of the Lenggong Valley,Malaysia,N5 4 4.47 E100 58 20.38
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,Cuba,N20 1 48 W75 23 29
Archaeological Monuments Zone of Xochicalco,Mexico,N18 48 14.299 W99 17 47.004
Archaeological Park and Ruins of Quirigua,Guatemala,N15 16 14.124 W89 2 24.9
Archaeological Ruins at Moenjodaro,Pakistan,N27 19 45 E68 8 20
Archaeological Ruins of Liangzhu City,China,N30 23 44 E119 59 27
Archaeological Site of Aigai (modern name Vergina),Greece,N40 28 17.004 E22 19 5.988
Archaeological Site of Ani,Türkiye,N40 30 0 E43 34 0
Archaeological Site of Atapuerca,Spain,N42 20 59 W3 30 55
Archaeological Site of Carthage,Tunisia,N36 51 10.008 E10 19 23.988
Archaeological Site of Cyrene,Libya,N32 49 30 E21 51 29.988
Archaeological Site of Delphi,Greece,N38 28 53.364 E22 29 46.212
Archaeological Site of Leptis Magna,Libya,N32 38 17.988 E14 17 35.016
Archaeological Site of Mystras,Greece,N37 4 50.016 E22 22 0.012
"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar",India,N25 8 12 E85 26 38
Archaeological Site of Olympia,Greece,N37 38 24 E21 38 2.4
Archaeological Site of Panamá Viejo and Historic District of Panamá,Panama,N8 57 4 W79 32 26
Archaeological Site of Philippi,Greece,N41 0 53 E24 17 7
Archaeological Site of Sabratha,Libya,N32 48 19.008 E12 29 6
Archaeological Site of Troy,Türkiye,N39 57 23.184 E26 14 20.4
Archaeological Site of Volubilis,Morocco,N34 4 26.004 W5 33 24.984
"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",Oman,N23 16 11.496 E56 44 42
Archaeological Sites of Mycenae and Tiryns,Greece,N37 43 60 E22 45 0
Archaeological Sites of the Island of Meroe,Sudan,N16 55 60 E33 43 0
"Archaeological Zone of Paquimé, Casas Grandes",Mexico,N30 22 1.661 W107 56 53.239
Archipiélago de Revillagigedo,Mexico,N18 47 17 W110 58 31
Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,Russian Federation,N56 18 37.26 E38 7 52.32
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",Belarus,N53 13 22.008 E26 41 29.004
Area de Conservación Guanacaste,Costa Rica,N10 50 60 W85 37 0
"Arles, Roman and Romanesque Monuments",France,N43 40 39.5 E4 37 50.5
Armenian Monastic Ensembles of Iran,Iran (Islamic Republic of),N38 58 44 E45 28 24
Arslantepe Mound,Türkiye,N38 22 55.92 E38 21 39.93
As-Salt - The Place of Tolerance and Urban Hospitality,Jordan,N32 2 33.4 E35 43 41.9
Asante Traditional Buildings,Ghana,N6 24 4 W1 37 33
Ashur (Qal'at Sherqat),Iraq,N35 27 24 E43 15 40
Asmara: A Modernist African City,Eritrea,N15 20 7 E38 56 9
"Assisi, the Basilica of San Francesco and Other Franciscan Sites",Italy,N43 3 58.2 E12 37 20.8
Assumption Cathedral and Monastery of the town-island of Sviyazhsk,Russian Federation,N55 46 13 E48 39 10
Astronomical Observatories of Kazan Federal University,Russian Federation,N55 47 27.27 E49 7 8.75
At-Turaif District in ad-Dir'iyah,Saudi Arabia,N24 44 2.88 E46 34 20.88
Atlantic Forest South-East Reserves,Brazil,S24 10 0.012 W48 0 0
Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),Poland,N50 2 20 E19 10 30
Australian Convict Sites,Australia,S33 22 42 E150 59 40
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Australia,S19 4 60 E138 43 0
Baalbek,Lebanon,N34 0 24 E36 12 15
Babylon,Iraq,N32 32 31.09 E44 25 15
Baekje Historic Areas,Republic of Korea,N36 27 43 E127 7 38
Bagan,Myanmar,N21 8 56 E94 53 4
Bahá’i Holy Places in Haifa and the Western Galilee,Israel,N32 49 45.828 E34 58 17.936
Bahla Fort,Oman,N22 57 51.012 E57 18 3.996
Bale Mountains National Park,Ethiopia,N6 47 52 E39 44 56
Bam and its Cultural Landscape,Iran (Islamic Republic of),N29 7 0.588 E58 22 0
Ban Chiang Archaeological Site,Thailand,N17 24 27.979 E103 14 15.32
Banc d'Arguin National Park,Mauritania,N20 14 4.992 W16 6 32.004
Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas),Jordan,N31 50 14 E35 33 10
Barberton Makhonjwa Mountains,South Africa,S25 58 26 E31 0 50
Bardejov Town Conservation Reserve,Slovakia,N49 17 34 E21 16 32
Baroque Churches of the Philippines,Philippines,N14 35 24 E120 58 12
"Bassari Country: Bassari, Fula and Bedik Cultural Landscapes",Senegal,N12 35 36 W12 50 45
"Bauhaus and its Sites in Weimar, Dessau and Bernau",Germany,N50 58 29.2 E11 19 46.2
Belfries of Belgium and France,Belgium,N50 10 27.984 E3 13 53.004
Belize Barrier Reef Reserve System,Belize,N17 11 25.976 W87 50 46.367
Benedictine Convent of St John at Müstair,Switzerland,N46 37 46.02 E10 26 51.54
Bergpark Wilhelmshöhe,Germany,N51 18 57 E9 23 35
Berlin Modernism Housing Estates,Germany,N52 26 54 E13 26 60
Białowieża Forest,Belarus,N52 43 39 E23 58 52
"Biblical Tels - Megiddo, Hazor, Beer Sheba",Israel,N32 35 49.992 E35 10 55.992
Bikini Atoll Nuclear Test Site,Marshall Islands,N11 35 60 E165 22 50
Birka and Hovgården,Sweden,N59 20 6.504 E17 32 33.504
"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem",State of Palestine,N31 42 15.67 E35 12 27
Bisotun,Iran (Islamic Republic of),N34 23 18 E47 26 12
Blaenavon Industrial Landscape,United Kingdom of Great Britain and Northern Ireland,N51 46 35 W3 5 17
Blenheim Palace,United Kingdom of Great Britain and Northern Ireland,N51 50 31 W1 21 41
Blue and John Crow Mountains,Jamaica,N18 4 39 W76 34 16
Bolgar Historical and Archaeological Complex,Russian Federation,N54 58 44 E49 3 23
"Bordeaux, Port of the Moon",France,N44 50 20 W0 34 20
Borobudur Temple Compounds,Indonesia,S7 36 28.008 E110 12 12.996
"Botanical Garden (Orto Botanico), Padua",Italy,N45 23 56.8 E11 52 50.4
Bourges Cathedral,France,N47 4 56 E2 23 54
Boyana Church,Bulgaria,N42 38 40.675 E23 15 58.258
Brasilia,Brazil,S15 46 59.988 W47 53 60
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Brazil,S3 51 28.6 W32 25 30.4
Brimstone Hill Fortress National Park,Saint Kitts and Nevis,N17 20 48.984 W62 50 13.992
Bronze Age Burial Site of Sammallahdenmäki,Finland,N61 7 14.016 E21 46 39
Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,Ireland,N53 41 40.9 W6 28 31.8
Bryggen,Norway,N60 23 49.992 E5 19 23.016
"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",Hungary,N47 28 56.712 E19 4 14.412
Buddhist Monuments at Sanchi,India,N23 28 45.984 E77 44 22.992
Buddhist Monuments in the Horyu-ji Area,Japan,N34 37 0 E135 43 60
Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,Pakistan,N34 19 15 E71 56 45
Budj Bim Cultural Landscape,Australia,S38 4 52 E141 53 7
Burgos Cathedral,Spain,N42 20 26.64 W3 42 14.44
Bursa and Cumalıkızık: the Birth of the Ottoman Empire,Türkiye,N40 11 5.03 E29 3 44.41
Butrint,Albania,N39 44 44.635 E20 1 15.42
Bwindi Impenetrable National Park,Uganda,S1 4 50 E29 39 41
Byblos,Lebanon,N34 7 9.012 E35 38 44
Cahokia Mounds State Historic Site,United States of America,N38 39 31 W90 3 41
